,min_temp,min_temp,min_temp,min_temp,min_temp
,mean,median,var,std,sem
month,,,,,
3,-83.30729166666667,-84.0,8.391988438045384,2.8968928937821268,0.2090652365048281
4,-82.74742268041237,-83.0,10.438464825596867,3.2308613132718755,0.2319623239225963
2,-79.93258426966293,-80.0,4.628197803592987,2.151324662526088,0.16124860078816303
5,-79.30872483221476,-79.0,5.620261200798109,2.3707090080391793,0.19421604936477263
1,-77.16091954022988,-77.0,5.130024583084181,2.264955757423129,0.17170585284952475
6,-75.29931972789116,-75.0,3.444040629950595,1.8558126602517278,0.1530648484231215
12,-74.45180722891567,-74.0,4.418875502008049,2.102112152576082,0.1631555452315597
7,-72.28169014084507,-72.0,5.551293577065216,2.3561183283241984,0.19772105790708253
11,-71.98550724637681,-72.0,5.474240981698919,2.339709593453623,0.19916930715062933
10,-71.98214285714286,-72.0,5.495173745173742,2.344178693097807,0.2215040660940429
9,-69.17164179104478,-69.0,10.323701043653998,3.213051671488337,0.2775653888760187
8,-68.38297872340425,-68.0,7.552279635258395,2.748141123606718,0.23143523266072996
