,pressure,pressure,pressure,pressure,pressure
,mean,median,var,std,sem
month,,,,,
1,862.4885057471264,862.0,171.95073417048584,13.112998671947079,0.9940938638655838
2,889.4550561797753,890.0,120.0459912397645,10.956550152295407,0.8212281541217838
3,877.3229166666666,878.0,321.2878490401374,17.9245041504678,1.2935896620453937
4,806.3298969072165,806.0,653.683350248388,25.567231962971434,1.835620278108755
5,748.5570469798657,747.0,160.7484128423698,12.678659741564555,1.0386762769689373
6,745.0544217687075,743.0,59.791538533221484,7.7324988543950965,0.637765756441926
7,795.1056338028169,793.0,425.30081909899013,20.62282277233139,1.7306288425996947
8,873.8297872340426,877.0,542.2565349544075,23.286402361773437,1.9610688483695424
9,913.3059701492538,914.0,50.75530243518912,7.124275572659239,0.615443672236088
10,887.3125,886.5,138.12668918918754,11.752731137450033,1.1105287076963593
11,857.0144927536232,856.0,118.89029937585886,10.903682835439541,0.9281831222989979
12,842.156626506024,843.0,50.56925885359865,7.111206568058521,0.5519366716204948
